FT		ID		AT		WT		ST 
3		102		1		0		2
4		103		2		0		2
5		105		2		0		3
5		109		3		0		2
6		101		1		0		5
6		104		2		0		4
6		110		4		0		2
6		111		4		0		2
11		120		8		2		1
13		114		6		6		1
13		113		5		6		2
14		124		11		1		2
14		126		12		1		1
14		117		8		5		1
16		116		7		5		4
16		106		2		12		2
17		128		13		0		4
17		107		3		12		2
17		130		14		1		2
17		129		14		1		2
18		108		3		13		2
20		115		7		10		3
20		112		5		13		2
20		118		8		10		2
20		122		9		9		2
22		119		8		12		2
23		125		12		1		10
23		127		12		9		2
24		123		11		10		3
27		143		20		1		6
27		146		24		0		3
28		139		19		0		9
28		131		15		9		4
29		132		15		10		4
31		147		25		0		6
31		133		16		12		3
31		148		28		0		3
32		152		28		0		4
34		135		18		12		4
35		149		28		1		6
35		141		19		13		3
35		140		19		13		3
35		142		19		13		3
37		134		17		12		8
38		144		22		14		2
38		145		22		14		2
39		138		19		16		4
39		157		30		6		3
39		137		19		14		6
41		136		18		12		11
41		151		28		12		1
43		156		30		12		1
45		153		30		6		9
45		154		30		9		6
46		150		28		10		8
48		155		30		10		8

Orders: 56  [Norm: 10, Veg: 10, Vip : 36]
Cooks: 8    [Norm: 3, Veg: 3, Vip : 2, injured:6]
Avg Wait = 6.60714,  Avg Serv = 3.64286
Urgent orders: 16, Auto-promoted: 62.963%
